SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B
1,100,0,0,0,56.07,-35.06,-48.46
2,70,0,0,0,64.09,-26.88,-39.63
3,40,0,0,0,75.67,-15.76,-25.63
4,20,0,0,0,84.37,-8.05,-14.68
5,10,0,0,0,89.09,-4.10,-8.62
6,0,100,0,0,49.72,71.33,-1.71
7,0,70,0,0,57.98,55.68,-5.15
8,0,40,0,0,71.57,32.60,-6.54
9,0,20,0,0,82.20,16.69,-5.43
10,0,10,0,0,87.99,8.51,-4.03
11,0,0,100,0,89.25,-5.05,90.18
12,0,0,70,0,89.80,-4.79,69.28
13,0,0,40,0,91.16,-3.97,40.00
14,0,0,20,0,92.47,-2.29,19.71
15,0,0,10,0,93.23,-1.21,9.08
16,0,0,0,10,85.59,-0.04,-1.67
17,0,0,0,20,77.51,-0.10,-1.67
18,0,0,0,40,62.57,-0.13,-1.32
19,0,0,0,60,47.97,-0.12,-0.72
20,0,0,0,80,34.39,-0.14,-0.41
21,0,0,0,100,22.17,-0.32,-0.26
22,0,100,0,100,20.18,7.10,-0.14
23,0,70,70,60,33.24,21.60,15.57
24,0,0,70,80,34.54,-2.92,17.66
25,100,100,0,0,28.61,17.66,-40.10
26,70,70,0,0,40.39,16.42,-35.61
27,40,40,0,0,58.68,11.48,-25.91
28,20,20,0,0,74.19,6.65,-16.35
29,10,10,0,0,83.39,3.59,-9.99
30,0,100,100,0,48.96,65.06,41.41
31,0,70,70,0,57.20,50.27,35.82
32,0,40,40,0,70.26,28.68,23.96
33,0,20,20,0,81.08,14.06,13.03
34,0,10,10,0,87.26,6.88,6.33
35,100,0,100,0,51.71,-60.23,25.19
36,70,0,70,0,60.14,-42.98,21.38
37,40,0,40,0,72.88,-23.55,13.47
38,20,0,20,0,82.82,-11.65,6.62
39,10,0,10,0,88.22,-5.79,2.45
40,10,6,6,0,85.12,-0.39,-3.07
41,20,12,12,0,77.35,-1.34,-4.15
42,40,27,27,0,62.63,-2.60,-3.94
43,60,45,45,0,49.75,-3.89,-3.70
44,80,65,65,0,38.75,-4.50,-2.57
45,100,85,85,0,30.81,-5.70,-2.58
46,100,0,0,100,20.34,-4.13,-6.07
47,20,100,70,60,27.56,22.97,8.12
48,70,0,70,80,27.56,-12.66,4.96
49,100,100,100,0,28.32,0.08,-0.43
50,70,70,70,0,39.19,4.25,2.45
51,40,40,40,0,57.24,5.12,3.16
52,20,20,20,0,73.15,3.47,1.63
53,10,10,10,0,82.68,2.08,0.09
54,20,70,70,0,51.33,37.28,25.25
55,40,70,70,20,39.80,19.07,12.65
56,40,100,100,20,33.48,31.07,15.70
57,40,100,40,20,33.77,35.44,-2.22
58,40,40,100,20,47.88,0.64,33.46
59,100,40,100,20,36.21,-28.61,10.66
60,100,40,40,20,36.77,-21.40,-15.67
61,100,100,40,20,26.18,6.07,-17.02
62,10,40,40,0,66.72,22.61,18.28
63,0,40,100,0,69.04,26.42,65.88
64,0,100,40,0,49.56,68.48,15.46
65,40,100,0,0,39.36,49.02,-20.66
66,40,0,100,0,71.02,-26.76,59.22
67,100,0,40,0,53.35,-50.91,-14.28
68,100,40,0,0,44.45,-14.45,-45.97
69,0,0,0,0,94.11,0.07,-1.72
70,0,0,100,100,23.27,-1.94,5.83
71,0,70,0,60,33.20,25.29,-2.28
72,70,0,0,80,27.45,-8.42,-11.80
