SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B
1,100,0,0,0,55.48,-38.56,-44.73
2,70,0,0,0,65.31,-27.74,-32.42
3,40,0,0,0,77.13,-15.41,-17.61
4,20,0,0,0,84.87,-7.84,-7.89
5,10,0,0,0,88.66,-4.23,-3.13
6,0,100,0,0,46.21,71.16,-1.66
7,0,70,0,0,57.63,50.53,-3.83
8,0,40,0,0,72.79,26.08,-3.64
9,0,20,0,0,82.76,11.99,-1.45
10,0,10,0,0,87.66,5.46,0.02
11,0,0,100,0,85.83,-2.93,93.32
12,0,0,70,0,87.33,-3.75,65.47
13,0,0,40,0,89.35,-3.38,35.55
14,0,0,20,0,90.86,-2.25,17.82
15,0,0,10,0,91.63,-1.51,9.55
16,0,0,0,10,85.98,-0.76,1.01
17,0,0,0,20,79.44,-0.82,0.51
18,0,0,0,40,65.78,-0.78,-0.16
19,0,0,0,60,50.92,-0.51,-0.36
20,0,0,0,80,35.04,-0.11,-0.27
21,0,0,0,100,17.63,0.56,0.27
22,0,100,0,100,14.57,11.37,2.75
23,0,70,70,60,32.13,22.17,17.93
24,0,0,70,80,34.05,-3.04,19.57
25,100,100,0,0,25.33,17.49,-41.25
26,70,70,0,0,39.51,15.38,-32.64
27,40,40,0,0,60.62,8.81,-20.24
28,20,20,0,0,76.03,4.23,-10.17
29,10,10,0,0,84.15,1.78,-4.46
30,0,100,100,0,45.97,64.85,44.60
31,0,70,70,0,55.71,46.76,37.83
32,0,40,40,0,70.59,23.80,23.77
33,0,20,20,0,81.41,10.63,13.20
34,0,10,10,0,86.94,4.72,7.59
35,100,0,100,0,48.52,-59.94,33.90
36,70,0,70,0,59.97,-39.74,25.64
37,40,0,40,0,73.98,-20.07,14.73
38,20,0,20,0,83.30,-9.71,7.95
39,10,0,10,0,87.89,-5.10,4.76
40,10,6,6,0,85.52,-1.17,0.60
41,20,12,12,0,78.77,-1.85,-0.41
42,40,27,27,0,64.37,-2.69,-0.71
43,60,45,45,0,49.69,-3.96,0.81
44,80,65,65,0,36.14,-5.44,2.57
45,100,85,85,0,26.27,-7.66,2.48
46,100,0,0,100,13.51,-5.57,-7.49
47,20,100,70,60,24.68,26.80,10.65
48,70,0,70,80,25.42,-15.14,8.17
49,100,100,100,0,23.10,-1.36,5.06
50,70,70,70,0,36.84,4.72,8.21
51,40,40,40,0,58.29,4.76,6.68
52,20,20,20,0,74.65,2.53,4.25
53,10,10,10,0,83.42,0.96,3.03
54,20,70,70,0,50.32,36.87,29.36
55,40,70,70,20,38.61,21.13,17.19
56,40,100,100,20,31.02,35.07,21.40
57,40,100,40,20,31.38,38.87,0.44
58,40,40,100,20,47.39,2.59,41.97
59,100,40,100,20,33.16,-32.51,18.05
60,100,40,40,20,35.19,-24.91,-14.47
61,100,100,40,20,21.54,6.14,-17.34
62,10,40,40,0,67.59,19.39,19.57
63,0,40,100,0,67.93,23.90,70.51
64,0,100,40,0,46.18,67.65,17.66
65,40,100,0,0,36.89,50.46,-19.34
66,40,0,100,0,70.25,-21.34,68.10
67,100,0,40,0,52.32,-51.55,-13.09
68,100,40,0,0,43.20,-17.46,-43.74
69,0,0,0,0,92.37,-0.70,1.52
70,0,0,100,100,18.97,-3.35,9.25
71,0,70,0,60,33.23,26.00,-2.59
72,70,0,0,80,26.11,-9.63,-11.28
