SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B
1,100,0,0,0,59.04,-26.66,-42.80
2,70,0,0,0,68.36,-20.85,-33.57
3,40,0,0,0,79.80,-12.76,-21.22
4,20,0,0,0,87.82,-6.37,-12.04
5,10,0,0,0,91.89,-2.94,-7.18
6,0,100,0,0,55.04,59.46,-4.00
7,0,70,0,0,63.93,45.11,-6.49
8,0,40,0,0,76.54,26.52,-6.67
9,0,20,0,0,86.02,13.66,-4.96
10,0,10,0,0,90.96,7.04,-3.73
11,0,0,100,0,88.85,-1.65,79.16
12,0,0,70,0,90.59,-3.10,59.42
13,0,0,40,0,92.83,-2.94,33.56
14,0,0,20,0,94.48,-1.64,15.85
15,0,0,10,0,95.17,-0.65,6.66
16,0,0,0,10,88.85,0.54,-2.02
17,0,0,0,20,81.91,0.49,-1.71
18,0,0,0,40,68.23,0.62,-0.97
19,0,0,0,60,54.86,0.96,0.00
20,0,0,0,80,42.37,1.48,1.06
21,0,0,0,100,31.88,2.05,2.08
22,0,100,0,100,29.25,6.08,3.22
23,0,70,70,60,39.64,14.18,10.64
24,0,0,70,80,40.13,-1.48,11.16
25,100,100,0,0,38.54,7.97,-32.20
26,70,70,0,0,48.23,10.41,-28.90
27,40,40,0,0,64.81,8.80,-21.39
28,20,20,0,0,79.01,5.63,-13.40
29,10,10,0,0,87.23,3.27,-8.22
30,0,100,100,0,52.48,55.39,30.12
31,0,70,70,0,60.80,42.48,27.51
32,0,40,40,0,74.03,24.28,19.73
33,0,20,20,0,84.53,12.01,10.78
34,0,10,10,0,90.19,6.05,4.68
35,100,0,100,0,52.24,-42.83,18.48
36,70,0,70,0,62.70,-32.82,17.77
37,40,0,40,0,76.44,-19.08,11.76
38,20,0,20,0,86.19,-9.20,5.54
39,10,0,10,0,91.10,-4.19,1.71
40,10,6,6,0,88.60,0.06,-2.74
41,20,12,12,0,81.61,-0.81,-3.25
42,40,27,27,0,67.56,-1.87,-2.96
43,60,45,45,0,54.66,-3.03,-2.34
44,80,65,65,0,44.24,-4.59,-2.19
45,100,85,85,0,37.17,-6.37,-2.25
46,100,0,0,100,28.10,0.11,-3.24
47,20,100,70,60,35.03,15.16,6.12
48,70,0,70,80,34.38,-6.99,3.89
49,100,100,100,0,35.04,-3.16,-0.48
50,70,70,70,0,44.75,2.06,1.82
51,40,40,40,0,62.11,4.07,3.04
52,20,20,20,0,77.51,3.27,1.76
53,10,10,10,0,86.44,2.13,0.06
54,20,70,70,0,55.78,30.19,19.41
55,40,70,70,20,46.00,13.93,9.71
56,40,100,100,20,39.96,22.34,11.91
57,40,100,40,20,41.92,25.32,-2.56
58,40,40,100,20,51.70,1.07,26.12
59,100,40,100,20,40.40,-19.36,7.52
60,100,40,40,20,42.97,-15.16,-12.88
61,100,100,40,20,35.05,1.81,-13.74
62,10,40,40,0,71.03,19.11,15.47
63,0,40,100,0,70.53,25.31,53.07
64,0,100,40,0,54.23,56.81,10.77
65,40,100,0,0,47.02,36.58,-17.97
66,40,0,100,0,72.10,-20.71,50.60
67,100,0,40,0,55.95,-37.68,-13.46
68,100,40,0,0,49.57,-11.17,-38.83
69,0,0,0,0,95.71,0.61,-2.32
70,0,0,100,100,30.13,-1.43,4.07
71,0,70,0,60,42.38,18.09,-2.27
72,70,0,0,80,36.13,-3.41,-6.37
