SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,LAB_L,LAB_A,LAB_B
1,100,0,0,0,55.00,-37.00,-50.00
2,70,0,0,0,64.09,-31.05,-40.67
3,40,0,0,0,75.44,-20.70,-27.16
4,20,0,0,0,84.62,-10.87,-15.66
5,10,0,0,0,89.76,-5.58,-9.02
6,0,100,0,0,48.00,74.00,-3.00
7,0,70,0,0,56.53,61.19,-10.12
8,0,40,0,0,69.78,39.52,-11.24
9,0,20,0,0,81.55,20.97,-7.93
10,0,10,0,0,88.15,10.58,-5.18
11,0,0,100,0,89.00,-5.00,93.00
12,0,0,70,0,89.91,-5.12,71.33
13,0,0,40,0,91.63,-4.11,43.54
14,0,0,20,0,92.98,-2.14,21.34
15,0,0,10,0,93.95,-1.09,9.62
16,0,0,0,10,86.35,0.00,-1.78
17,0,0,0,20,77.71,0.00,-1.56
18,0,0,0,40,61.17,0.00,-1.14
19,0,0,0,60,45.74,0.00,-0.75
20,0,0,0,80,31.52,0.00,-0.39
21,0,0,0,100,16.00,0.00,0.00
22,0,100,0,100,11.19,12.89,2.23
23,0,70,70,60,27.31,24.87,14.63
24,0,0,70,80,29.92,-3.07,18.67
25,100,100,0,0,24.00,22.00,-46.00
26,70,70,0,0,35.55,20.46,-42.00
27,40,40,0,0,54.37,14.71,-31.84
28,20,20,0,0,72.51,8.19,-19.68
29,10,10,0,0,83.34,4.35,-11.31
30,0,100,100,0,47.00,68.00,48.00
31,0,70,70,0,54.79,57.08,37.88
32,0,40,40,0,67.70,36.24,24.50
33,0,20,20,0,80.19,18.63,13.43
34,0,10,10,0,87.31,9.35,6.20
35,100,0,100,0,50.00,-65.00,27.00
36,70,0,70,0,59.14,-50.40,23.55
37,40,0,40,0,72.06,-30.73,15.68
38,20,0,20,0,82.84,-15.24,7.90
39,10,0,10,0,88.82,-7.58,2.99
40,10,6,6,0,85.36,-0.72,-3.49
41,20,12,12,0,76.33,-1.82,-4.95
42,40,27,27,0,58.95,-2.10,-5.91
43,60,45,45,0,44.23,-1.39,-5.94
44,80,65,65,0,33.15,-1.42,-5.54
45,100,85,85,0,25.59,-4.24,-4.23
46,100,0,0,100,12.01,-6.57,-9.76
47,20,100,70,60,21.01,24.10,7.57
48,70,0,70,80,22.04,-18.36,4.82
49,100,100,100,0,23.00,0.00,0.00
50,70,70,70,0,33.44,6.91,-0.24
51,40,40,40,0,52.28,7.36,1.20
52,20,20,20,0,71.08,4.63,1.00
53,10,10,10,0,82.55,2.65,-0.19
54,20,70,70,0,47.29,41.27,24.94
55,40,70,70,20,33.50,20.78,9.74
56,40,100,100,20,27.32,30.38,16.28
57,40,100,40,20,27.73,35.43,-5.02
58,40,40,100,20,40.86,1.64,30.96
59,100,40,100,20,29.87,-28.78,8.29
60,100,40,40,20,31.33,-21.77,-18.86
61,100,100,40,20,20.16,5.74,-21.08
62,10,40,40,0,63.58,28.68,18.47
63,0,40,100,0,65.47,34.83,66.52
64,0,100,40,0,47.86,70.97,20.06
65,40,100,0,0,34.01,49.42,-26.47
66,40,0,100,0,68.70,-33.89,61.15
67,100,0,40,0,52.36,-56.35,-11.81
68,100,40,0,0,39.88,-8.73,-50.63
69,0,0,0,0,95.00,0.00,-2.00
70,0,0,100,100,16.70,-3.75,8.09
71,0,70,0,60,28.12,29.38,-7.88
72,70,0,0,80,23.06,-12.57,-13.63
